BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
202001,11,18,202001,11,19,144368,866662,TEXAS,48,2020,January,Tornado,C,365,PANOLA,SHV,1/11/20 00:18,CST-6,1/11/20 00:19,0,0,0,0,30.00K,0.00K,NWS Storm Survey,,,,,EF1,0.52,150,,,,,5,ENE,TATUM,6,ENE,TATUM,32.3289,-94.4356,32.3336,-94.4286,"An upper level longwave trough emerged out of the Intermountain West and into the Central and Southern Plains during the daytime and evening hours of January 10th. A strong southerly return flow commenced out ahead of the trough during the 8th-9th, allowing for unseasonably warm and humid conditions to advance northward across Southern Oklahoma, much of Central and Eastern Texas, as well as Louisiana, Arkansas, and the Lower Mississippi Valley. Meanwhile, an intensifying surface low pressure system and associated dry line developed along the Red River of North Texas into Southern Oklahoma during the afternoon hours, which spread east northeast across the Ark-La-Tex during the early morning hours on January 11th. With afternoon temperatures climbing into the mid 70s ahead of this trough, moderate instability developed across the broad warm sector, with very strong wind shear in place as large scale forcing increased ahead of the trough axis across East Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana. Thus, an axis of strong to severe showers and thunderstorms developed during the evening hours across Southeast Oklahoma, adjacent sections of Southwest Arkansas and East Texas, which advanced east into North Louisiana during the early morning hours of the 11th. Damaging winds downed trees and power lines across portions of East Texas, with even multiple tornadoes touching down along the line of severe thunderstorms. Unfortunately, a man  was killed when a tornado touched down west of Nacogdoches and a tree fell on his mobile home. These storms also produced locally heavy rainfall, with amounts of one to three inches, with isolated higher amounts up to four inches recorded across much of this area, resulting in isolated instances of flash flooding. These storms continued to intensify during the late evening and early morning hours as they moved into extreme Eastern Texas and Western Louisiana, producing more in the way of widespread wind damage and isolated tornadoes.","An EF-1 tornado with estimated maximum winds near 110 mph touched down on a hillside just southwest of Farm to Market Road 959 just northeast of Tatum. The damage was limited to trees, as a majority of the few hundred pine trees in a confined area had their trunks snapped. The tornado tracked northeast off the hill doing only sporadic tree damage before crossing Farm to Market Road 959, resulting in roof damage to several residences and outbuildings. The tornado lifted shortly thereafter prior to crossing the Sabine River bordering Southern Harrison County.",CSV
202003,28,1925,202003,28,1931,146466,880154,IOWA,19,2020,March,Tornado,C,61,DUBUQUE,DVN,3/28/20 19:25,CST-6,3/28/20 19:31,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF1,3.8,50,,,,,2,WSW,SHERRILL,2,NNE,SHERRILL,42.5947,-90.8138,42.629,-90.7553,"A strong low pressure system tracked from southwest Iowa to north central Iowa Saturday afternoon. Storms developed, moved across a warm front, and four tornadoes touched down over eastern Iowa and northwest Illinois.  A few other storms brought small hail and damaging wind to portions of the region Saturday night.","An EF-1 tornado developed southeast of Sherrill and moved northeast causing significant damage to outbuildings and uprooting trees at several farmsteads. The tornado was rated EF-1 with maximum wind speeds estimated around 110 mph. There were no injuries, and the damaged ended before it crossed the Mississippi River.",CSV
202001,10,2321,202001,10,2322,144368,866536,TEXAS,48,2020,January,Tornado,C,73,CHEROKEE,SHV,1/10/20 23:21,CST-6,1/10/20 23:22,0,0,0,0,105.00K,0.00K,NWS Storm Survey,,,,,EF1,0.8,75,,,,,1,NNW,NORTH RUSK,2,N,NORTH RUSK,31.8177,-95.1751,31.825,-95.1646,"An upper level longwave trough emerged out of the Intermountain West and into the Central and Southern Plains during the daytime and evening hours of January 10th. A strong southerly return flow commenced out ahead of the trough during the 8th-9th, allowing for unseasonably warm and humid conditions to advance northward across Southern Oklahoma, much of Central and Eastern Texas, as well as Louisiana, Arkansas, and the Lower Mississippi Valley. Meanwhile, an intensifying surface low pressure system and associated dry line developed along the Red River of North Texas into Southern Oklahoma during the afternoon hours, which spread east northeast across the Ark-La-Tex during the early morning hours on January 11th. With afternoon temperatures climbing into the mid 70s ahead of this trough, moderate instability developed across the broad warm sector, with very strong wind shear in place as large scale forcing increased ahead of the trough axis across East Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana. Thus, an axis of strong to severe showers and thunderstorms developed during the evening hours across Southeast Oklahoma, adjacent sections of Southwest Arkansas and East Texas, which advanced east into North Louisiana during the early morning hours of the 11th. Damaging winds downed trees and power lines across portions of East Texas, with even multiple tornadoes touching down along the line of severe thunderstorms. Unfortunately, a man  was killed when a tornado touched down west of Nacogdoches and a tree fell on his mobile home. These storms also produced locally heavy rainfall, with amounts of one to three inches, with isolated higher amounts up to four inches recorded across much of this area, resulting in isolated instances of flash flooding. These storms continued to intensify during the late evening and early morning hours as they moved into extreme Eastern Texas and Western Louisiana, producing more in the way of widespread wind damage and isolated tornadoes.","An EF-1 tornado, with estimated maximum winds near 105 mph, touched down on a farm off of County Road 1619, uprooting several trees. It also broke windows and partially damaged the roof of a home before it destroyed a shed and damaged the roofs of two more homes. The tornado crossed Highway 69 and continued to uproot trees and damage the roofs of two homes before lifting along County Road 1501.",CSV
202001,11,30,202001,11,33,144368,866665,TEXAS,48,2020,January,Tornado,C,203,HARRISON,SHV,1/11/20 00:30,CST-6,1/11/20 00:33,0,0,0,0,15.00K,0.00K,NWS Storm Survey,,,,,EF0,3,100,,,,,3,SW,KARNACK,1,SSE,KARNACK,32.6402,-94.2112,32.6549,-94.1626,"An upper level longwave trough emerged out of the Intermountain West and into the Central and Southern Plains during the daytime and evening hours of January 10th. A strong southerly return flow commenced out ahead of the trough during the 8th-9th, allowing for unseasonably warm and humid conditions to advance northward across Southern Oklahoma, much of Central and Eastern Texas, as well as Louisiana, Arkansas, and the Lower Mississippi Valley. Meanwhile, an intensifying surface low pressure system and associated dry line developed along the Red River of North Texas into Southern Oklahoma during the afternoon hours, which spread east northeast across the Ark-La-Tex during the early morning hours on January 11th. With afternoon temperatures climbing into the mid 70s ahead of this trough, moderate instability developed across the broad warm sector, with very strong wind shear in place as large scale forcing increased ahead of the trough axis across East Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana. Thus, an axis of strong to severe showers and thunderstorms developed during the evening hours across Southeast Oklahoma, adjacent sections of Southwest Arkansas and East Texas, which advanced east into North Louisiana during the early morning hours of the 11th. Damaging winds downed trees and power lines across portions of East Texas, with even multiple tornadoes touching down along the line of severe thunderstorms. Unfortunately, a man  was killed when a tornado touched down west of Nacogdoches and a tree fell on his mobile home. These storms also produced locally heavy rainfall, with amounts of one to three inches, with isolated higher amounts up to four inches recorded across much of this area, resulting in isolated instances of flash flooding. These storms continued to intensify during the late evening and early morning hours as they moved into extreme Eastern Texas and Western Louisiana, producing more in the way of widespread wind damage and isolated tornadoes.",An EF-0 tornado with estimated maximum winds near 85 mph touched down off of County Road 2108 and snapped small and large branches along its path. The tornado crossed Highway 43 where it tore off a wooden front porch and gutters off of a home. It then crossed County Road 2600 before lifting near Farm to Market Road 134 before entering the Longhorn Army Ammunition Plant.,CSV
202001,11,39,202001,11,49,144368,866668,TEXAS,48,2020,January,Tornado,C,419,SHELBY,SHV,1/11/20 00:39,CST-6,1/11/20 00:49,1,0,0,0,500.00K,0.00K,NWS Storm Survey,,,,,EF1,6.07,400,,,,,1,WSW,CENTER,3,ESE,CENTER MUNI ARPT,31.773,-94.2021,31.811,-94.109,"An upper level longwave trough emerged out of the Intermountain West and into the Central and Southern Plains during the daytime and evening hours of January 10th. A strong southerly return flow commenced out ahead of the trough during the 8th-9th, allowing for unseasonably warm and humid conditions to advance northward across Southern Oklahoma, much of Central and Eastern Texas, as well as Louisiana, Arkansas, and the Lower Mississippi Valley. Meanwhile, an intensifying surface low pressure system and associated dry line developed along the Red River of North Texas into Southern Oklahoma during the afternoon hours, which spread east northeast across the Ark-La-Tex during the early morning hours on January 11th. With afternoon temperatures climbing into the mid 70s ahead of this trough, moderate instability developed across the broad warm sector, with very strong wind shear in place as large scale forcing increased ahead of the trough axis across East Texas, Southeast Oklahoma, Southwest Arkansas, and North Louisiana. Thus, an axis of strong to severe showers and thunderstorms developed during the evening hours across Southeast Oklahoma, adjacent sections of Southwest Arkansas and East Texas, which advanced east into North Louisiana during the early morning hours of the 11th. Damaging winds downed trees and power lines across portions of East Texas, with even multiple tornadoes touching down along the line of severe thunderstorms. Unfortunately, a man  was killed when a tornado touched down west of Nacogdoches and a tree fell on his mobile home. These storms also produced locally heavy rainfall, with amounts of one to three inches, with isolated higher amounts up to four inches recorded across much of this area, resulting in isolated instances of flash flooding. These storms continued to intensify during the late evening and early morning hours as they moved into extreme Eastern Texas and Western Louisiana, producing more in the way of widespread wind damage and isolated tornadoes.","An EF-1 tornado with estimated maximum winds near 100 mph touched down just west of Highway 7 on the southwest side of Center and continued on an east-northeast path for roughly 6 miles. The tornado cut through a few neighborhoods on the south side of Center, where numerous trees were snapped or uprooted across the path through the town, resulting in roof and structural damage to many homes as trees fell through them. The most extensive damage occurred in the Lakewood subdivision just off of Highway 7, where one minor injury occurred as a fallen pine tree heavily damaged the roof of a home. In addition, a handful of other homes farther east along Ballard Street sustained significant damage from falling trees. There was also damage to homes farther east near Martin Luther King Drive, where a few homes sustained minor structural roof damage due to winds alone. On Loop 500 East on the southeast side of town, there was additional structural damage due to mainly wind, although a few of the damaged homes were likely vacant and already in a heavy state of disrepair before the tornado. It then continued into much more rural areas on the eastern outskirts of Center, resulting in scattered tree and very low-end structural damage until reaching County Road 3047. Here, a majority of the chicken houses had some of their roof paneling removed with a few of the houses having most of the roof paneling torn off along with additional structural damage. It was at this point where the most concentrated damage was found. The tornado then lifted shortly after crossing County Road 3047.",CSV
202003,28,1740,202003,28,1743,146196,878425,IOWA,19,2020,March,Tornado,C,65,FAYETTE,ARX,3/28/20 17:40,CST-6,3/28/20 17:43,0,0,0,0,75.00K,0.00K,Emergency Manager,,,,,EF0,3.6,50,,,,,1,SSE,MAYNARD,3,NNE,MAYNARD,42.7525,-91.8552,42.804,-91.8448,"Thunderstorms developed along a warm front across portions of northeast Iowa during the late afternoon of March 28th. These storms spawned two tornadoes that touched down in Fayette County. The first tornado moved through the western sections of Oelwein, damaging apartment buildings and numerous trees in Red Gate Park and a nearby cemetery. One of the damaged apartment buildings was condemned. The second tornado damaged several farm buildings near Maynard. The storms also produced some large hail with quarter sized hail reported in Elkader (Clayton County) and Monona (Clayton County).",An EF0 tornado touched down touched down southeast of Maynard and move north-northeast before dissipating between Maynard and Fayette. Several farm buildings were damaged along the path of the tornado.,CSV
202003,28,1730,202003,28,1736,146196,878419,IOWA,19,2020,March,Tornado,C,65,FAYETTE,ARX,3/28/20 17:30,CST-6,3/28/20 17:36,0,1,0,0,165.00K,5.00K,Emergency Manager,,,,,EF1,3.93,140,,,,,3,SE,OELWEIN MUNI ARPT,2,NNW,OELWEIN,42.648,-91.9414,42.7013,-91.9146,"Thunderstorms developed along a warm front across portions of northeast Iowa during the late afternoon of March 28th. These storms spawned two tornadoes that touched down in Fayette County. The first tornado moved through the western sections of Oelwein, damaging apartment buildings and numerous trees in Red Gate Park and a nearby cemetery. One of the damaged apartment buildings was condemned. The second tornado damaged several farm buildings near Maynard. The storms also produced some large hail with quarter sized hail reported in Elkader (Clayton County) and Monona (Clayton County).","An EF1 tornado moved through the west and northwest side of Oelwein during the late afternoon of March 28th. The tornado produced extensive tree damage at Red Gate Park, blew in the wall of an apartment building and damaged the siding and roof of a second apartment building. The building that sustained the wall damage was condemned. One person was injured at the apartment complex when they stepped on broken glass. At least two vehicles parked outside the apartment complex were heavily damaged.",CSV
202003,19,925,202003,19,929,145629,883628,OKLAHOMA,40,2020,March,Tornado,C,107,OKFUSKEE,TSA,3/19/20 09:25,CST-6,3/19/20 09:29,0,0,0,0,30.00K,0.00K,NWS Storm Survey,,,,,EF1,2.7,225,,,,,2,SW,OKEMAH,1,SSW,OKEMAH ARPT,35.4043,-96.3287,35.4179,-96.2854,"Strong to severe thunderstorms developed over northwestern Texas and southwestern Oklahoma during the evening of the 18th. These storms moved northeast and affected portions of northeastern Oklahoma during the early morning hours of the 19th. Although instability had decreased ahead of these storms during the night-time hours, wind shear had strengthened significantly as these storms moved into northeast Oklahoma. As a result, one of these storms produced a tornado in Creek County. In addition, some of these thunderstorms moved repeatedly across the same areas, which resulted in locally heavy rainfall that combined with saturated soils, produced flash flooding. Another round of thunderstorms moved across northeastern Oklahoma later that morning. Another tornado developed with these thunderstorms, as well as locally damaging wind and flash flooding.||In addition to the flash flooding and severe weather, these multiple rounds of thunderstorms resulted in widespread heavy rainfall across northeastern Oklahoma. One to three inches fell across much of the area, with a heavier axis of three to six inches. This widespread heavy rainfall resulted in moderate flooding of the Caney and Neosho Rivers, and major flooding of the Illinois River.","This tornado developed south of I-40 and west of the N3760 Road. It moved east-northeast destroying a large outbuilding, damaging a home, and snapping large tree limbs as it crossed S 14th Street. Another outbuilding was destroyed east of S 14th Street, and large tree limbs were snapped as it crossed Highway 27. The tornado appeared to dissipate before crossing the N3780 Road, south of the E1100 Road. Based on this damage, maximum estimated wind in the tornado was 90 to 100 mph.",CSV
202003,19,0,202003,19,7,146515,880449,TEXAS,48,2020,March,Tornado,C,353,NOLAN,SJT,3/19/20 00:00,CST-6,3/19/20 00:07,0,0,0,0,2.00M,0.00K,Law Enforcement,,,,,EF2,4.68,425,SJT,TX,441,TAYLOR,3,NNE,NOLAN,7,SW,BLAIR,32.3101,-100.2189,32.343,-100.1489,"A cold front interacting with an upper level disturbance and plenty of moisture triggered a supercell just northwest of Throckmorton on March 17.  Stormchasers videtoped a brief tornado touchdown just northwest of Throckmorton.  ||By the afternoon of March 18 into the early morning hours of March 19, a strong upper level low pressure system moved northeast across the Panhandle.  Plenty of wind shear and instability interacted with a dryline, copious gulf moisture and triggered an isolated discrete supercell.  This tornadic supercell produced at least three tornadoes from southeast Nolan County to Taylor, Jones and Shackelford Counties.  Two of the tornadoes were EF-2 at times and did extension damage along its track across four counties.","An EF-2 tornado touched down in southeast Nolan County and continued into Taylor County.  About 14.5 miles southeast of Sweetwater, drone footage provided by AES Wind Generation Plant showed the EF-2 tornado damaged a large windmill turbine and tore off other windmill blades. The twister also caused roof damage to a residence and knocked down some high powered transmission poles and power lines.",CSV
202001,10,2134,202001,10,2135,144289,866063,TEXAS,48,2020,January,Tornado,C,51,BURLESON,HGX,1/10/20 21:34,CST-6,1/10/20 21:35,0,0,0,0,30.00K,0.00K,NWS Storm Survey,,,,,EF1,0.11,100,,,,,2,WNW,HOGG,2,WNW,HOGG,30.4847,-96.8042,30.4861,-96.8034,A strong storm system produced a squall line that moved eastward across the area and produced a lot wind damage and one tornado.,A National Weather Service storm survey determined a short-lived EF-1 tornado caused damage in western Burleson County. A shed was destroyed and numerous trees were snapped. A trailer was thrown southward around 40 yards while other debris was thrown toward the northeast.,CSV
202003,19,43,202003,19,49,146515,880532,TEXAS,48,2020,March,Tornado,C,253,JONES,SJT,3/19/20 00:43,CST-6,3/19/20 00:49,0,0,0,0,0.00K,0.00K,NWS Storm Survey,,,,,EF2,4.62,135,SJT,TX,417,SHACKELFORD,3,WNW,HAMBY,4,NNE,HAMBY,32.5335,-99.6739,32.5726,-99.6096,"A cold front interacting with an upper level disturbance and plenty of moisture triggered a supercell just northwest of Throckmorton on March 17.  Stormchasers videtoped a brief tornado touchdown just northwest of Throckmorton.  ||By the afternoon of March 18 into the early morning hours of March 19, a strong upper level low pressure system moved northeast across the Panhandle.  Plenty of wind shear and instability interacted with a dryline, copious gulf moisture and triggered an isolated discrete supercell.  This tornadic supercell produced at least three tornadoes from southeast Nolan County to Taylor, Jones and Shackelford Counties.  Two of the tornadoes were EF-2 at times and did extension damage along its track across four counties.",This tornado damaged the Robertson and Middleton Maximum Security Units near Hamby.  It damaged or destroyed about 100 vehicles in the parking lot and it tossed or rolled one of them about 300 yards into a nearby lake.  It also destroyed a garage of a nearby home and removed the metal roof.  The tornado removed some A/C units from the roof of the Units and tore up some fencing.  The tornado damaged the guard's house near the entrance to the units.  The tornado continued on a northeast track into Shackelford County.,CSV
